405,31,42,73.08,249.84,395.92,800.92,1
372,24,44,87.26,267.44,422.70,794.70,1
379,35,42,89.88,246.71,413.60,792.60,1
366,23,39,80.96,265.74,408.70,774.70,1
379,30,36,77.49,251.50,394.99,773.99,1
374,31,40,80.85,244.21,396.07,770.07,1
353,29,47,79.20,261.83,417.03,770.03,1
377,30,44,75.60,240.05,389.65,766.65,1
379,32,35,76.65,242.76,386.41,765.41,1
371,21,44,86.31,241.92,393.24,764.24,1
348,29,38,80.96,267.39,415.35,763.35,1
368,34,38,84.42,231.31,387.73,755.73,1
356,22,34,71.40,257.54,384.94,740.94,0
352,31,38,77.22,242.04,388.27,740.27,0
350,38,36,76.85,238.98,389.84,739.84,0
343,32,38,78.03,246.60,394.63,737.63,0
351,27,30,80.18,246.39,383.57,734.57,0
335,26,42,78.99,252.53,399.52,734.52,0
328,27,44,84.88,247.76,403.65,731.65,0
357,25,41,78.33,228.18,372.52,729.52,0
332,25,37,81.35,253.48,396.83,728.83,0
348,27,37,75.68,239.39,379.08,727.08,0
367,31,32,71.38,223.96,358.34,725.34,0
335,25,37,75.85,247.76,385.61,720.61,0
330,18,38,80.96,251.57,388.53,718.53,0
341,20,33,80.77,242.89,376.66,717.66,0
343,26,40,80.77,226.63,373.40,716.40,0
366,34,36,75.29,202.34,347.63,713.63,0
349,21,32,75.88,232.40,361.27,710.27,0
334,21,34,78.60,242.04,375.64,709.64,0
326,22,34,80.56,242.04,378.61,704.61,0
352,21,34,75.65,219.17,349.82,701.82,0
353,14,39,73.73,220.04,346.77,699.77,0
345,30,32,73.33,216.55,351.88,696.88,0
340,23,29,71.72,230.61,354.33,694.33,0
325,16,38,77.42,229.66,361.07,686.07,0
337,24,35,70.54,218.22,347.76,684.76,0
326,24,25,71.92,216.31,337.23,663.23,0
