381,38,43,89.25,274.44,444.69,825.69,1
399,34,46,82.85,257.70,420.55,819.55,1
383,34,42,85.95,265.56,427.51,810.51,1
377,25,45,83.26,257.09,410.36,787.36,1
365,35,40,82.23,238.75,395.97,760.97,1
380,24,37,78.92,237.33,377.26,757.26,1
348,33,40,80.55,249.47,403.02,751.02,1
348,33,33,82.49,251.72,400.21,748.21,1
387,30,40,71.28,219.79,361.07,748.07,1
348,34,27,82.28,250.53,393.81,741.81,1
354,32,45,70.04,236.73,383.77,737.77,1
320,40,42,79.48,248.22,409.69,729.69,1
357,27,46,75.41,221.81,370.22,727.22,1
355,25,33,78.51,229.07,365.57,720.57,1
319,17,37,80.55,263.21,397.76,716.76,1
352,19,40,75.41,230.07,364.48,716.48,1
377,24,42,67.77,203.46,337.22,714.22,1
321,24,36,80.47,250.03,390.51,711.51,1
333,32,39,73.71,230.26,374.98,707.98,1
309,30,36,80.78,250.04,396.82,705.82,1
342,22,35,73.96,232.49,363.46,705.46,1
316,24,35,79.03,245.24,383.27,699.27,1
342,29,31,68.18,226.85,355.03,697.03,0
331,40,28,71.19,226.31,365.50,696.50,0
353,27,31,70.77,212.57,341.34,694.34,0
305,30,27,79.57,249.74,386.31,691.31,0
329,19,42,73.07,228.02,362.09,691.09,0
315,31,39,63.87,234.67,368.55,683.55,0
306,28,39,78.01,231.93,376.94,682.94,0
336,11,32,73.29,227.97,344.27,680.27,0
301,27,33,75.20,233.55,368.74,669.74,0
